condition,model,cohort,n,events,c_index,selected_features
inner_ring_physical3mm,age_sex,LUNG1_all,397,353,0.5952424352898287,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity
inner_ring_physical3mm,radiomics,LUNG2_validation,113,44,0.5970544918998527,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity
inner_ring_physical3mm,age_sex,LUNG2_validation,113,44,0.6147275405007364,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity
inner_core_physical3mm,radiomics,LUNG1_all,397,353,0.5793969064111244,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy
inner_core_physical3mm,age_sex,LUNG1_all,397,353,0.5894745065361179,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy
inner_core_physical3mm,radiomics,LUNG2_validation,113,44,0.5503681885125185,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy
inner_core_physical3mm,age_sex,LUNG2_validation,113,44,0.587039764359352,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy
outer_ring_physical3mm,radiomics,LUNG1_all,397,353,0.5967657934482579,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2
outer_ring_physical3mm,age_sex,LUNG1_all,397,353,0.6017264725795531,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2
outer_ring_physical3mm,radiomics,LUNG2_validation,113,44,0.5622974963181149,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2
outer_ring_physical3mm,age_sex,LUNG2_validation,113,44,0.5743740795287187,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2
inner_ring_physical5mm,radiomics,LUNG1_all,397,353,0.6031456694963804,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness
inner_ring_physical5mm,age_sex,LUNG1_all,397,353,0.6042784229988022,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-LHL_firstorder_Skewness
