condition,model,cohort,n,events,c_index,selected_features
inner_core_physical2mm,radiomics,LUNG2_validation,113,44,0.5569955817378498,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_firstorder_Median;inner_core__wavelet-LHL_glcm_MCC;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-LLH_firstorder_Mean;inner_core__wavelet-LHH_glszm_SizeZoneNonUniformityNormalized;inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-LHH_glrlm_RunVariance;inner_core__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;inner_core__wavelet-HHL_glcm_MCC;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-LHL_gldm_DependenceVariance;inner_core__original_shape_Elongation;inner_core__wavelet-LHH_glcm_JointEnergy
inner_core_physical2mm,age_sex,LUNG2_validation,113,44,0.5726067746686303,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_firstorder_Median;inner_core__wavelet-LHL_glcm_MCC;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-LLH_firstorder_Mean;inner_core__wavelet-LHH_glszm_SizeZoneNonUniformityNormalized;inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-LHH_glrlm_RunVariance;inner_core__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;inner_core__wavelet-HHL_glcm_MCC;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-LHL_gldm_DependenceVariance;inner_core__original_shape_Elongation;inner_core__wavelet-LHH_glcm_JointEnergy
outer_ring_physical2mm,radiomics,LUNG1_all,397,353,0.6131842091557731,outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLL_firstorder_Kurtosis;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LLL_glcm_Imc1;outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__original_shape_Maximum2DDiameterSlice;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLL_gldm_SmallDependenceEmphasis;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HLH_glcm_Idn;outer_ring__wavelet-HHL_glszm_SizeZoneNonUniformity
outer_ring_physical2mm,age_sex,LUNG1_all,397,353,0.6152153533670122,outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLL_firstorder_Kurtosis;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LLL_glcm_Imc1;outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__original_shape_Maximum2DDiameterSlice;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLL_gldm_SmallDependenceEmphasis;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HLH_glcm_Idn;outer_ring__wavelet-HHL_glszm_SizeZoneNonUniformity
outer_ring_physical2mm,radiomics,LUNG2_validation,113,44,0.5119293078055964,outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLL_firstorder_Kurtosis;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LLL_glcm_Imc1;outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__original_shape_Maximum2DDiameterSlice;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLL_gldm_SmallDependenceEmphasis;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HLH_glcm_Idn;outer_ring__wavelet-HHL_glszm_SizeZoneNonUniformity
outer_ring_physical2mm,age_sex,LUNG2_validation,113,44,0.5572901325478645,outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLL_firstorder_Kurtosis;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_gldm_DependenceNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LHH_glcm_Idmn;outer_ring__wavelet-LLL_glcm_Imc1;outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_firstorder_Energy;outer_ring__original_shape_Maximum2DDiameterSlice;outer_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;outer_ring__wavelet-HHH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLL_gldm_SmallDependenceEmphasis;outer_ring__wavelet-HHH_firstorder_TotalEnergy;outer_ring__wavelet-HLH_glcm_Idn;outer_ring__wavelet-HHL_glszm_SizeZoneNonUniformity
inner_ring_physical3mm,radiomics,LUNG1_all,397,353,0.6013228477683454,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHH_glcm_Idn;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;inner_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity
inner_ring_physical3mm,age_sex,LUNG1_all,397,353,0.6063616478308421,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHH_glcm_Idn;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;inner_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity
inner_ring_physical3mm,radiomics,LUNG2_validation,113,44,0.6008836524300442,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHH_glcm_Idn;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;inner_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity
inner_ring_physical3mm,age_sex,LUNG2_validation,113,44,0.6091310751104565,inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-LHH_glcm_Idn;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_ring__wavelet-HLH_glrlm_RunLengthNonUniformity;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_firstorder_Energy;inner_ring__wavelet-LHH_gldm_GrayLevelNonUniformity;inner_ring__wavelet-LHH_glrlm_GrayLevelNonUniformity
inner_core_physical3mm,radiomics,LUNG1_all,397,353,0.6129368262069684,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-HHH_glszm_SmallAreaEmphasis;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-LHL_glcm_JointAverage;inner_core__wavelet-LHL_glcm_SumAverage;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glcm_JointEnergy;inner_core__wavelet-LHL_firstorder_Minimum;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-LHL_glcm_ClusterShade;inner_core__wavelet-LHL_glcm_MCC;inner_core__original_shape_Maximum3DDiameter;inner_core__wavelet-LHH_glcm_MaximumProbability
inner_core_physical3mm,age_sex,LUNG1_all,397,353,0.6195380448934952,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-HHH_glszm_SmallAreaEmphasis;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-LHL_glcm_JointAverage;inner_core__wavelet-LHL_glcm_SumAverage;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glcm_JointEnergy;inner_core__wavelet-LHL_firstorder_Minimum;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-LHL_glcm_ClusterShade;inner_core__wavelet-LHL_glcm_MCC;inner_core__original_shape_Maximum3DDiameter;inner_core__wavelet-LHH_glcm_MaximumProbability
inner_core_physical3mm,radiomics,LUNG2_validation,113,44,0.5746686303387334,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-HHH_glszm_SmallAreaEmphasis;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-LHL_glcm_JointAverage;inner_core__wavelet-LHL_glcm_SumAverage;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glcm_JointEnergy;inner_core__wavelet-LHL_firstorder_Minimum;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-LHL_glcm_ClusterShade;inner_core__wavelet-LHL_glcm_MCC;inner_core__original_shape_Maximum3DDiameter;inner_core__wavelet-LHH_glcm_MaximumProbability
inner_core_physical3mm,age_sex,LUNG2_validation,113,44,0.5932253313696613,inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HHH_firstorder_TotalEnergy;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-HHH_glszm_SmallAreaEmphasis;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-LHL_glcm_JointAverage;inner_core__wavelet-LHL_glcm_SumAverage;inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity;inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_glcm_JointEnergy;inner_core__wavelet-LHL_firstorder_Minimum;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-LHL_glcm_ClusterShade;inner_core__wavelet-LHL_glcm_MCC;inner_core__original_shape_Maximum3DDiameter;inner_core__wavelet-LHH_glcm_MaximumProbability
outer_ring_physical3mm,radiomics,LUNG1_all,397,353,0.6387688141242643,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;outer_ring__wavelet-HLH_firstorder_Median;outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_firstorder_Energy;outer_ring__wavelet-HHL_glcm_Imc2;outer_ring__original_firstorder_Minimum;outer_ring__wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-LHH_glcm_Idn;outer_ring__wavelet-HLH_firstorder_Maximum;outer_ring__wavelet-LHL_gldm_DependenceVariance;outer_ring__wavelet-HLL_glszm_SizeZoneNonUniformity;outer_ring__original_shape_SurfaceVolumeRatio;outer_ring__wavelet-LLL_glcm_Imc2;outer_ring__wavelet-HLH_firstorder_TotalEnergy;outer_ring__original_gldm_SmallDependenceHighGrayLevelEmphasis;outer_ring__wavelet-HLL_glszm_LargeAreaEmphasis;outer_ring__wavelet-HLL_glszm_ZoneVariance;outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;outer_ring__wavelet-HLH_gldm_DependenceNonUniformity;outer_ring__wavelet-LLH_firstorder_Kurtosis
