condition,model,cohort,n,events,c_index,selected_features
original_radiomics,radiomics,LUNG1_all,397,353,0.6219402635279413,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness;base__waveletlhlglcmmcc;base__waveletllhglcmclustershade;base__wavelethlhngtdmcontrast;base__waveletlhlfirstorderskewness;base__waveletllhgldmgraylevelvariance;base__waveletlhhglcmidmn;base__waveletlhhfirstorderenergy;base__waveletllhglrlmgraylevelvariance;base__waveletllhglcmcontrast;base__waveletlhhgldmlargedependenceemphasis
original_radiomics,age_sex,LUNG1_all,397,353,0.6205926774647154,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness;base__waveletlhlglcmmcc;base__waveletllhglcmclustershade;base__wavelethlhngtdmcontrast;base__waveletlhlfirstorderskewness;base__waveletllhgldmgraylevelvariance;base__waveletlhhglcmidmn;base__waveletlhhfirstorderenergy;base__waveletllhglrlmgraylevelvariance;base__waveletllhglcmcontrast;base__waveletlhhgldmlargedependenceemphasis
original_radiomics,radiomics,LUNG2_validation,113,44,0.5655375552282769,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness;base__waveletlhlglcmmcc;base__waveletllhglcmclustershade;base__wavelethlhngtdmcontrast;base__waveletlhlfirstorderskewness;base__waveletllhgldmgraylevelvariance;base__waveletlhhglcmidmn;base__waveletlhhfirstorderenergy;base__waveletllhglrlmgraylevelvariance;base__waveletllhglcmcontrast;base__waveletlhhgldmlargedependenceemphasis
original_radiomics,age_sex,LUNG2_validation,113,44,0.590279823269514,base__originalngtdmbusyness;base__wavelethlhfirstorderenergy;base__wavelethlhfirstordertotalenergy;base__wavelethhlfirstorderenergy;base__wavelethhhfirstorderenergy;base__wavelethllfirstorderenergy;base__wavelethhlfirstordertotalenergy;base__wavelethhhfirstordertotalenergy;base__wavelethllfirstordertotalenergy;base__waveletlllngtdmbusyness;base__waveletlhlglcmmcc;base__waveletllhglcmclustershade;base__wavelethlhngtdmcontrast;base__waveletlhlfirstorderskewness;base__waveletllhgldmgraylevelvariance;base__waveletlhhglcmidmn;base__waveletlhhfirstorderenergy;base__waveletllhglrlmgraylevelvariance;base__waveletllhglcmcontrast;base__waveletlhhgldmlargedependenceemphasis
inner_ring_physical2mm,radiomics,LUNG1_all,397,353,0.6053721160356231,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glcm_Idn;inner_ring__wavelet-HLH_firstorder_Maximum;inner_ring__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_glcm_Idn;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__original_shape_Maximum2DDiameterSlice;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLH_glcm_Idmn;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity
inner_ring_physical2mm,age_sex,LUNG1_all,397,353,0.6085750742148847,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glcm_Idn;inner_ring__wavelet-HLH_firstorder_Maximum;inner_ring__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_glcm_Idn;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__original_shape_Maximum2DDiameterSlice;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLH_glcm_Idmn;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity
inner_ring_physical2mm,radiomics,LUNG2_validation,113,44,0.5740795287187039,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glcm_Idn;inner_ring__wavelet-HLH_firstorder_Maximum;inner_ring__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_glcm_Idn;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__original_shape_Maximum2DDiameterSlice;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLH_glcm_Idmn;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity
inner_ring_physical2mm,age_sex,LUNG2_validation,113,44,0.5961708394698085,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHL_gldm_DependenceNonUniformity;inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_Energy;inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity;inner_ring__wavelet-HLL_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_firstorder_Energy;inner_ring__wavelet-HHH_gldm_DependenceNonUniformity;inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity;inner_ring__wavelet-HLH_firstorder_TotalEnergy;inner_ring__wavelet-HHH_glcm_Idn;inner_ring__wavelet-HLH_firstorder_Maximum;inner_ring__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis;inner_ring__wavelet-HHH_firstorder_TotalEnergy;inner_ring__wavelet-HLH_glcm_Idn;inner_ring__wavelet-LHL_gldm_GrayLevelNonUniformity;inner_ring__original_shape_Maximum2DDiameterSlice;inner_ring__wavelet-LHL_glrlm_GrayLevelNonUniformity;inner_ring__wavelet-HLH_glcm_Idmn;inner_ring__wavelet-HHH_glrlm_RunLengthNonUniformity
inner_core_physical2mm,radiomics,LUNG1_all,397,353,0.6278188636008541,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_firstorder_Median;inner_core__wavelet-LHL_glcm_MCC;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-LLH_firstorder_Mean;inner_core__wavelet-LHH_glszm_SizeZoneNonUniformityNormalized;inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-LHH_glrlm_RunVariance;inner_core__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;inner_core__wavelet-HHL_glcm_MCC;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-LHL_gldm_DependenceVariance;inner_core__original_shape_Elongation;inner_core__wavelet-LHH_glcm_JointEnergy
inner_core_physical2mm,age_sex,LUNG1_all,397,353,0.6294073225352846,inner_core__wavelet-LHH_glcm_Correlation;inner_core__wavelet-LHL_firstorder_Skewness;inner_core__wavelet-HHH_glcm_MCC;inner_core__wavelet-HLH_firstorder_Energy;inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity;inner_core__wavelet-LHH_firstorder_Median;inner_core__wavelet-LHL_glcm_MCC;inner_core__wavelet-HLH_firstorder_TotalEnergy;inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity;inner_core__wavelet-HHL_firstorder_Energy;inner_core__wavelet-LLH_firstorder_Mean;inner_core__wavelet-LHH_glszm_SizeZoneNonUniformityNormalized;inner_core__wavelet-HHH_firstorder_Energy;inner_core__wavelet-LHH_glrlm_RunVariance;inner_core__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized;inner_core__wavelet-HHL_glcm_MCC;inner_core__wavelet-HHL_firstorder_TotalEnergy;inner_core__wavelet-LHL_gldm_DependenceVariance;inner_core__original_shape_Elongation;inner_core__wavelet-LHH_glcm_JointEnergy
